timestamp,attention,meditation,poor_signal,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,command,blnik
2026-02-19 14:21:49.086975,0,18,0,969702,268091,39756,15903,50104,21299,5617,182920,l,23
2026-02-19 14:21:50.093345,0,23,17,1627030,266370,91245,45995,54033,30108,21029,109308,l,1
2026-02-19 14:21:51.085985,0,18,34,1127180,187598,72213,46860,41848,22784,20049,29456,l,1
2026-02-19 14:21:52.079879,0,16,51,1191318,393571,126598,141152,104099,97329,36588,223199,l,1
2026-02-19 14:21:53.063846,0,16,42,798665,329485,83101,115141,93856,105307,21281,297760,l,1
2026-02-19 14:21:54.067847,0,16,25,1011057,428199,88611,139883,91134,120859,22067,412575,l,1
2026-02-19 14:21:55.064057,0,23,8,822028,196264,68033,40452,4593,62967,4352,332041,l,7
2026-02-19 14:21:56.041816,0,38,0,731089,346221,60711,98319,4004,99134,4072,459668,l,17
2026-02-19 14:21:57.036770,0,54,0,513035,332411,55661,83907,4024,105529,2649,486363,l,26
2026-02-19 14:21:58.024409,0,63,0,812649,480199,79317,98954,5921,158890,2512,609021,l,48
