timestamp,attention,meditation,poor_signal,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,read_latency(ms),proccess_latency(ms),total_latency(ms)
2026-02-05 13:46:52.297123,21,33,0,519467,214094,47013,26271,11936,18217,8278,171817,0.9636300001147902,1.6656530001455394,2.6292830002603296
2026-02-05 13:46:53.332830,38,54,0,581789,116500,43634,24441,14578,20100,9247,200761,0.24240299990196945,1.8163350000577339,2.0587379999597033
2026-02-05 13:46:54.286894,46,59,0,502835,66677,49865,23783,14806,15555,10402,245103,2.527525000004971,1.5390070002467837,4.066532000251755
2026-02-05 13:46:55.279765,55,65,0,183904,44102,20657,21726,11098,6944,6643,264526,0.21499600006791297,1.5417490003528656,1.7567450004207785
2026-02-05 13:46:56.281055,60,77,0,9394,4706,16492,24381,9579,10104,6756,262015,0.21407000031103962,1.5821550000509887,1.7962250003620284
2026-02-05 13:46:57.266762,70,90,0,4393,6507,16003,23553,7366,11341,4691,266759,4.863572999965982,1.5424700000039593,6.406042999969941
2026-02-05 13:46:58.258583,78,99,0,5693,8557,16055,16824,8835,16916,5100,258965,0.7571149999421323,1.750448000166216,2.507563000108348
2026-02-05 13:46:59.261382,89,98,0,38288,15811,12393,7591,5842,12829,4580,263981,0.2448099999128317,1.7950400001609523,2.039850000073784
2026-02-05 13:47:00.264745,96,91,0,36912,17364,9493,6133,6666,11662,6992,255378,1.0782389999803854,1.7955389998860483,2.8737779998664337
2026-02-05 13:47:01.247213,98,83,0,199333,31339,14527,9663,3761,9016,7070,254101,6.11112399974445,1.7440959995838057,7.855219999328256
